section,check_id,check_text,model_domain,evidence_source,test_method,pass_rule,severity_weight
5. Business Reality Alignment,B3,Is enterprise deal lumpiness or timing variability modeled?,SaaS,saas outputs / streaming campaign pulses,check lumpiness logic,Pass if large-deal or campaign pulse variability included,2
5. Business Reality Alignment,B3,Is enterprise deal lumpiness or timing variability modeled?,Streaming,saas outputs / streaming campaign pulses,check lumpiness logic,Pass if large-deal or campaign pulse variability included,2
5. Business Reality Alignment,B4,Are dynamic team / customer behaviors represented?,SaaS,code,check productivity/behavior adaptation,Pass if behavior adapts with pressure or scale,2
5. Business Reality Alignment,B4,Are dynamic team / customer behaviors represented?,Streaming,code,check productivity/behavior adaptation,Pass if behavior adapts with pressure or scale,2
5. Business Reality Alignment,B5,Are pricing response effects modeled?,SaaS,code/outputs,check price elasticity or churn response,Pass if price changes affect churn/acquisition,2
5. Business Reality Alignment,B5,Are pricing response effects modeled?,Streaming,code/outputs,check price elasticity or churn response,Pass if price changes affect churn/acquisition,2
5. Business Reality Alignment,B6,Are operational bottlenecks represented or disclosed?,SaaS,code/reports,check implementation/support bottlenecks or clear disclosure,Pass if modeled or explicitly limited,2
5. Business Reality Alignment,B6,Are operational bottlenecks represented or disclosed?,Streaming,code/reports,check implementation/support bottlenecks or clear disclosure,Pass if modeled or explicitly limited,2
6. Dependency & Systemic Risk,Y1,Are root-factor dependencies identified?,SaaS,dependency map,check map exists,Pass if root-factor map listed,2
6. Dependency & Systemic Risk,Y1,Are root-factor dependencies identified?,Streaming,dependency map,check map exists,Pass if root-factor map listed,2
6. Dependency & Systemic Risk,Y2,Are driver interdependencies explicit?,SaaS,code/diagrams,check linked drivers,Pass if main feedbacks explicit,3
6. Dependency & Systemic Risk,Y2,Are driver interdependencies explicit?,Streaming,code/diagrams,check linked drivers,Pass if main feedbacks explicit,3
6. Dependency & Systemic Risk,Y3,Are correlated risks quantified or scenario-tested?,SaaS,scenario matrix,check joint-shock scenarios,Pass if matrix or scenarios provided,2
6. Dependency & Systemic Risk,Y3,Are correlated risks quantified or scenario-tested?,Streaming,scenario matrix,check joint-shock scenarios,Pass if matrix or scenarios provided,2
6. Dependency & Systemic Risk,Y4,Are feedback loops modeled?,SaaS,code,check saturation/price/churn/capacity loops,Pass if loops change results over time,3
6. Dependency & Systemic Risk,Y4,Are feedback loops modeled?,Streaming,code,check saturation/price/churn/capacity loops,Pass if loops change results over time,3
6. Dependency & Systemic Risk,Y5,Are regime changes modeled?,SaaS,scenario outputs,check recession/competition/saturation phases,Pass if regime shifts present,3
6. Dependency & Systemic Risk,Y5,Are regime changes modeled?,Streaming,scenario outputs,check recession/competition/saturation phases,Pass if regime shifts present,3
7. Edge Cases & Failure Modes,E1,Is top-customer / top-account churn impact handled where material?,SaaS,stress scenarios,check concentration shock scenario,Pass if concentration/top-account shock exists,2
7. Edge Cases & Failure Modes,E1,Is top-customer / top-account churn impact handled where material?,Streaming,stress scenarios,check concentration shock scenario,Pass if concentration/top-account shock exists,2
7. Edge Cases & Failure Modes,E2,Is major deal slippage or acquisition miss handled?,SaaS,stress scenarios,check slippage case,Pass if slippage scenario exists,3
7. Edge Cases & Failure Modes,E2,Is major deal slippage or acquisition miss handled?,Streaming,stress scenarios,check slippage case,Pass if slippage scenario exists,3
7. Edge Cases & Failure Modes,E3,Is abrupt growth slowdown modeled?,SaaS,scenario outputs,check slowdown scenarios,Pass if slowdown materially changes results,3
7. Edge Cases & Failure Modes,E3,Is abrupt growth slowdown modeled?,Streaming,scenario outputs,check slowdown scenarios,Pass if slowdown materially changes results,3
7. Edge Cases & Failure Modes,E4,Is pricing change failure modeled?,SaaS,scenario outputs,check failed-price scenario,Pass if failed-price scenario exists,2
7. Edge Cases & Failure Modes,E4,Is pricing change failure modeled?,Streaming,scenario outputs,check failed-price scenario,Pass if failed-price scenario exists,2
7. Edge Cases & Failure Modes,E5,Are extreme scenarios tested?,SaaS,stress outputs,check tail downside scenario,Pass if severe stress cases exist,3
7. Edge Cases & Failure Modes,E5,Are extreme scenarios tested?,Streaming,stress outputs,check tail downside scenario,Pass if severe stress cases exist,3
7. Edge Cases & Failure Modes,E6,Does the model behave logically at extremes?,SaaS,stress outputs,check no bridge failure and no illogical sign reversals,Pass if extreme runs remain coherent,3
7. Edge Cases & Failure Modes,E6,Does the model behave logically at extremes?,Streaming,stress outputs,check no bridge failure and no illogical sign reversals,Pass if extreme runs remain coherent,3
8. Output Risk & Interpretation,O1,Is false precision removed from outputs?,SaaS,reports/workbook,check rounding,Pass if executive outputs rounded,2
8. Output Risk & Interpretation,O1,Is false precision removed from outputs?,Streaming,reports/workbook,check rounding,Pass if executive outputs rounded,2
8. Output Risk & Interpretation,O2,Are uncertainty ranges clearly communicated?,SaaS,reports/workbook,check uncertainty banners and ranges,Pass if ranges shown near headlines,3
8. Output Risk & Interpretation,O2,Are uncertainty ranges clearly communicated?,Streaming,reports/workbook,check uncertainty banners and ranges,Pass if ranges shown near headlines,3
8. Output Risk & Interpretation,O3,Is deterministic misinterpretation actively prevented?,SaaS,reports/dashboard,check warnings/intended-use note,Pass if explicit anti-deterministic language present,2
8. Output Risk & Interpretation,O3,Is deterministic misinterpretation actively prevented?,Streaming,reports/dashboard,check warnings/intended-use note,Pass if explicit anti-deterministic language present,2
8. Output Risk & Interpretation,O4,Is real-world volatility reflected?,SaaS,outputs,check lumpiness/volatility present,Pass if monthly path not unrealistically smooth where material,2
8. Output Risk & Interpretation,O4,Is real-world volatility reflected?,Streaming,outputs,check lumpiness/volatility present,Pass if monthly path not unrealistically smooth where material,2
8. Output Risk & Interpretation,O5,Are driver explanations transparent enough for decision-makers?,SaaS,reports,check driver summaries,Pass if top drivers explained plainly,2
8. Output Risk & Interpretation,O5,Are driver explanations transparent enough for decision-makers?,Streaming,reports,check driver summaries,Pass if top drivers explained plainly,2
9. Model Purpose & Bias,P1,Is model purpose clearly defined?,SaaS,reports/dashboard,check intended use statement,Pass if planning/forecasting boundaries explicit,2
9. Model Purpose & Bias,P1,Is model purpose clearly defined?,Streaming,reports/dashboard,check intended use statement,Pass if planning/forecasting boundaries explicit,2
9. Model Purpose & Bias,P2,Are assumptions aligned to that purpose?,SaaS,reports/registry,check benchmark anchor language,Pass if assumptions framed as planning anchors not targets,2
9. Model Purpose & Bias,P2,Are assumptions aligned to that purpose?,Streaming,reports/registry,check benchmark anchor language,Pass if assumptions framed as planning anchors not targets,2
9. Model Purpose & Bias,P3,Is narrative pressure bias removed?,SaaS,scenario outputs,check downside preserved,Pass if weak/negative outcomes left intact,3
9. Model Purpose & Bias,P3,Is narrative pressure bias removed?,Streaming,scenario outputs,check downside preserved,Pass if weak/negative outcomes left intact,3
9. Model Purpose & Bias,P4,Are downside risks represented fairly?,SaaS,stress outputs,check severe downside coverage,Pass if downside cases included and visible,3
9. Model Purpose & Bias,P4,Are downside risks represented fairly?,Streaming,stress outputs,check severe downside coverage,Pass if downside cases included and visible,3
9. Model Purpose & Bias,P5,Is optimism/pessimism balanced?,SaaS,base vs range,check base within scenario distribution,Pass if base is not obviously promotional outlier,2
9. Model Purpose & Bias,P5,Is optimism/pessimism balanced?,Streaming,base vs range,check base within scenario distribution,Pass if base is not obviously promotional outlier,2
10. Unit Economics Consistency,U1,"Are CAC, CLV/LTV, churn, and ARPU/ARPA internally aligned?",SaaS,MC + model outputs,check internal consistency and payback,Pass if consistent and reconciled,3
10. Unit Economics Consistency,U1,"Are CAC, CLV/LTV, churn, and ARPU/ARPA internally aligned?",Streaming,MC + model outputs,check internal consistency and payback,Pass if consistent and reconciled,3
10. Unit Economics Consistency,U2,Is expansion consistent with base dynamics?,SaaS,model outputs,check expansion tied to retained base,Pass if expansion derives from retained base,2
10. Unit Economics Consistency,U2,Is expansion consistent with base dynamics?,Streaming,model outputs,check expansion tied to retained base,Pass if expansion derives from retained base,2
10. Unit Economics Consistency,U3,Are retention and growth coherent together?,SaaS,scenario outputs,check high churn lowers growth,Pass if coherence holds,3
10. Unit Economics Consistency,U3,Are retention and growth coherent together?,Streaming,scenario outputs,check high churn lowers growth,Pass if coherence holds,3
10. Unit Economics Consistency,U4,Are margins aligned with scale and context?,SaaS,unit economics sheet,check margin function or disclosure,Pass if scale or limitation handled,2
10. Unit Economics Consistency,U4,Are margins aligned with scale and context?,Streaming,unit economics sheet,check margin function or disclosure,Pass if scale or limitation handled,2
10. Unit Economics Consistency,U5,Are growth and efficiency not contradicting each other?,SaaS,unit economics outputs,check CAC payback / efficiency diagnostics,Pass if contradictions surfaced,3
10. Unit Economics Consistency,U5,Are growth and efficiency not contradicting each other?,Streaming,unit economics outputs,check CAC payback / efficiency diagnostics,Pass if contradictions surfaced,3
