section,check_id,model_domain,status,evidence,risk_note,proposed_fix
5. Business Reality Alignment,B2,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
5. Business Reality Alignment,B3,SaaS,❌ Fail,v3 SaaS smoothed enterprise timing.,Monthly forecast too smooth.,v4 adds deterministic enterprise lumpiness.
5. Business Reality Alignment,B3,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
5. Business Reality Alignment,B4,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
5. Business Reality Alignment,B4,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
5. Business Reality Alignment,B5,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
5. Business Reality Alignment,B5,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
5. Business Reality Alignment,B6,SaaS,❌ Fail,v3 SaaS lacked sales and implementation capacity / bottlenecks.,Growth could exceed operational reality.,v4 adds sales capacity and implementation throughput constraints.
5. Business Reality Alignment,B6,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
6. Dependency & Systemic Risk,Y1,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
6. Dependency & Systemic Risk,Y1,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
6. Dependency & Systemic Risk,Y2,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
6. Dependency & Systemic Risk,Y2,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
6. Dependency & Systemic Risk,Y3,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
6. Dependency & Systemic Risk,Y3,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
6. Dependency & Systemic Risk,Y4,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
6. Dependency & Systemic Risk,Y4,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
6. Dependency & Systemic Risk,Y5,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
6. Dependency & Systemic Risk,Y5,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
7. Edge Cases & Failure Modes,E1,SaaS,❌ Fail,v3 lacked concentration stress.,Top-customer churn invisible.,v4 adds top-customer loss scenario.
7. Edge Cases & Failure Modes,E1,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
7. Edge Cases & Failure Modes,E2,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
7. Edge Cases & Failure Modes,E2,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
7. Edge Cases & Failure Modes,E3,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
7. Edge Cases & Failure Modes,E3,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
7. Edge Cases & Failure Modes,E4,SaaS,⚠️ Partial,v3 lacked isolated failed-price and extreme stress scenarios.,Tail downside understated.,v4 adds failed-price and stress scenarios.
7. Edge Cases & Failure Modes,E4,Streaming,⚠️ Partial,v3 lacked isolated failed-price and extreme stress scenarios.,Tail downside understated.,v4 adds failed-price and stress scenarios.
7. Edge Cases & Failure Modes,E5,SaaS,⚠️ Partial,v3 lacked isolated failed-price and extreme stress scenarios.,Tail downside understated.,v4 adds failed-price and stress scenarios.
7. Edge Cases & Failure Modes,E5,Streaming,⚠️ Partial,v3 lacked isolated failed-price and extreme stress scenarios.,Tail downside understated.,v4 adds failed-price and stress scenarios.
7. Edge Cases & Failure Modes,E6,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
7. Edge Cases & Failure Modes,E6,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
8. Output Risk & Interpretation,O1,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
8. Output Risk & Interpretation,O1,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
8. Output Risk & Interpretation,O2,SaaS,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
8. Output Risk & Interpretation,O2,Streaming,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
8. Output Risk & Interpretation,O3,SaaS,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
8. Output Risk & Interpretation,O3,Streaming,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
8. Output Risk & Interpretation,O4,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
8. Output Risk & Interpretation,O4,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
8. Output Risk & Interpretation,O5,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
8. Output Risk & Interpretation,O5,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
9. Model Purpose & Bias,P1,SaaS,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
9. Model Purpose & Bias,P1,Streaming,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
9. Model Purpose & Bias,P2,SaaS,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
9. Model Purpose & Bias,P2,Streaming,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
9. Model Purpose & Bias,P3,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
9. Model Purpose & Bias,P3,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
9. Model Purpose & Bias,P4,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
9. Model Purpose & Bias,P4,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
9. Model Purpose & Bias,P5,SaaS,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
9. Model Purpose & Bias,P5,Streaming,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
10. Unit Economics Consistency,U1,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
10. Unit Economics Consistency,U1,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
10. Unit Economics Consistency,U2,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
10. Unit Economics Consistency,U2,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
10. Unit Economics Consistency,U3,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
10. Unit Economics Consistency,U3,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
10. Unit Economics Consistency,U4,SaaS,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
10. Unit Economics Consistency,U4,Streaming,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
10. Unit Economics Consistency,U5,SaaS,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
10. Unit Economics Consistency,U5,Streaming,⚠️ Partial,v3 disclosed uncertainty and purpose but not strongly enough.,Misinterpretation / optimism risk.,"v4 strengthens purpose statement, uncertainty banners, and efficiency checks."
